domain,cagr_pct,time_to_peak_months,recent_6m_slope,volatility
AI,491.71,115.0,7.0571,14.74
HealthTech,35.96,115.0,9.0286,14.8
AI/ML,35.27,117.0,9.8,14.69
EdTech,31.71,115.0,6.2,13.89
Gaming,30.14,116.0,10.6571,14.3
Education,26.39,117.0,10.5714,14.58
Healthcare,25.73,115.0,8.6,15.36
Cybersecurity,23.55,117.0,8.3714,14.86
Logistics,22.24,115.0,8.3429,14.4
FinTech,22.18,115.0,6.3429,14.37
Finance,17.79,115.0,7.6286,13.52
Tech,15.62,117.0,8.5143,13.98
IoT,15.14,115.0,8.4857,14.26
E-Commerce,12.35,115.0,7.3429,13.36
